FID_,Max_1HR,Max_1HR_2,Max_1HR_72,Max_1TD,RH_Count,TD_Count,EV,DTW,TWI,Suscept_3
2202,1.05585349931,0.0496083816031,0.0496083816031,0.45,4,0,2.81533875172,307.905434227,6.37187764645,1
2298,1.04412183804,0.0503141180878,0.0503141180878,0.45,4,0,2.42843357317,258.744011602,7.04957151266,1
2541,1.04111997411,0.0503505381057,0.0503505381057,0.45,4,0,2.73100124706,1805.34225037,6.91372712974,1
2545,1.03859521213,0.0503452342788,0.0503452342788,0.45,4,0,2.7480786102200003,1735.76969868,6.805462310299999,1
2577,1.19448166675,0.0497808752516999,0.0497808752516999,0.45,4,0,2.42858910045,172.47722817599998,4.39237576828,1
2674,1.20076269292,0.0510060458266,0.0510060458266,0.45,4,0,2.91024513448,400.555298945,7.6248673598,1
2736,1.25259590567,0.050806124613,0.050806124613,0.45,4,0,2.9620504863,610.301709882,6.39900924943,1
2737,1.25953986281,0.050794582814,0.050794582814,0.45,4,0,2.87422232915,443.912334756,8.47046824261,1
2743,1.1244011398,0.0578212298709999,0.0578212298709999,0.45,4,0,1.67382280546,153.11963664799998,5.46101869528,1
2746,1.12087891466,0.0580997256783,0.0580997256783,0.45,4,0,1.7482246353400002,140.693485597,5.34513108485,1
2797,1.1264871864,0.0503536258209,0.0503536258209,0.45,4,0,3.19259904924,894.916591768,5.549236298309999,1
2886,1.36721495046,0.0541721912638,0.0541721912638,0.45,4,0,3.53677250531,1799.64445155,6.04686601557,1
2887,1.3759734486700002,0.054413808317,0.054413808317,0.45,4,0,3.36871191246,1755.311199,6.33566395207,1
2914,1.22299491955,0.046411253575,0.046411253575,0.45,4,0,1.51507566706,323.552889916,8.24340263556,1
3070,1.15016339223,0.0505908387403,0.0505908387403,0.45,4,0,2.52410200487,590.497162224,6.00299922602,1
3072,1.14092970313,0.0505487459401,0.0505487459401,0.45,4,0,2.7412592958200004,738.565737915,7.75485079197,1
3115,1.15525162468,0.0505728058826999,0.0505728058826999,0.45,4,0,2.33705319926,481.233906598,7.69135143732,1
3203,1.19403914476,0.048492605719,0.048492605719,0.45,4,0,1.973008128,306.94244178900004,8.24260569183,1
3282,1.2111021745,0.0479050941639,0.0479050941639,0.45,4,0,1.3181321683,264.853626127,6.01074453089,1
